101,100
103,102
136,135
128,127
141,140
110,109
123,122
146,145
209,208
212,211
225,224
203,202
212,211
240,239
158,158
152,152
109,109
111,111
129,129
140,140
213,213
234,234
212,212
149,149
158,158
107,107
119,119
123,123
239,239
208,208
168,168
157,157
162,162
197,197
179,179
182,182
184,184
142,142
158,158
195,195
196,196
162,162
186,186
167,167
192,192
195,195
175,175
162,162
192,192
174,174
251,251
260,260
298,298
398,398
276,276
369,369
264,264
357,357
362,362
279,279
252,252
311,311
323,323
365,365
358,358
392,392
384,384
376,376
264,264
285,285
298,298
275,275
287,287
315,315
352,352
346,346
349,349
362,362
378,378
385,385
298,298
268,268
272,272
251,251
262,262
275,275
264,264
254,254
369,369
392,392
358,358
372,372
384,384
397,397
359,358
299,298
288,287
363,362
379,378
262,261
