count,label
100,0
102,0
135,0
127,0
140,0
109,0
122,0
145,0
208,0
211,0
224,0
202,0
211,0
239,0
158,0
152,0
109,0
111,0
129,0
140,0
213,0
234,0
212,0
149,0
158,0
107,0
119,0
123,0
239,0
208,0
168,0
157,0
162,0
197,0
179,0
182,0
184,0
142,0
158,0
195,0
196,0
162,0
186,0
167,0
192,0
195,0
175,0
162,0
192,0
174,0
251,1
260,1
298,1
398,1
276,1
369,1
264,1
357,1
362,1
279,1
252,1
311,1
323,1
365,1
358,1
392,1
384,1
376,1
264,1
285,1
298,1
275,1
287,1
315,1
352,1
346,1
349,1
362,1
378,1
385,1
298,1
268,1
272,1
251,1
262,1
275,1
264,1
254,1
369,1
392,1
358,1
372,1
384,1
397,1
358,1
298,1
287,1
362,1
378,1
261,1
